win,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,reb,ast,stl,blk,pf,tov,fbpts,fbptsa,fbptsm,pip,pipa,pipm,ble,bpts,tf,scp,tmreb,tmtov,potov,home,away,date
1.0,0,1,10,-1,4,8,-6,-4,-10,7,8,1,-2,-10,16,7,7,14,2,7,15,10,1,-6,-3,0,15,POR,SAS,2019-02-08
0.0,-8,-2,6,4,2,-3,-10,-3,-13,-3,-3,0,0,0,-8,-5,-4,-12,-10,-6,-15,2,0,1,-2,0,-7,DET,ATL,2018-12-23
0.0,0,-10,-14,-3,-5,-3,-1,-7,-8,-14,0,-8,2,2,-7,-4,-2,-10,0,-5,-25,-10,0,-11,0,0,-12,CLE,UTA,2019-01-05
1.0,-10,-4,1,1,20,13,6,11,17,4,-8,-1,-9,8,2,-1,1,-2,-5,-1,-5,0,-1,7,6,-1,-6,UTA,DET,2019-01-15
1.0,4,-1,14,5,4,1,4,-7,-3,5,4,3,-3,-3,-4,-6,-3,-10,-6,-5,17,11,-2,-7,5,-1,-1,UTA,MIN,2019-01-26
0.0,6,-10,2,-3,4,0,7,-7,0,-3,1,-12,-2,1,-38,-20,-14,-14,2,-7,-20,-5,0,11,2,0,-10,NOP,TOR,2019-03-09
0.0,9,2,4,2,-13,-10,0,-2,-2,4,6,4,8,-3,6,4,1,6,7,3,1,14,1,1,-6,0,-4,PHX,LAC,2018-12-11
1.0,4,8,13,10,-12,-14,-2,1,-1,7,0,3,7,-1,10,3,4,-6,0,-3,20,7,0,-1,1,1,5,NYK,SAS,2019-02-25
1.0,10,0,14,5,-6,-4,5,1,6,-4,-1,3,-1,-2,-10,1,-5,-14,-5,-7,4,0,0,2,0,2,-8,CHA,WAS,2019-03-09
0.0,16,8,-8,-6,-20,-16,0,-7,-7,-4,0,-1,8,-8,3,4,0,8,4,4,2,-15,0,-3,-5,0,11,SAC,UTA,2018-10-18
1.0,-1,22,-3,0,-15,-16,6,23,29,13,-9,4,6,13,14,10,7,44,3,22,32,26,0,8,-1,-3,5,IND,MEM,2018-10-17
1.0,-3,-1,4,5,6,8,5,10,15,8,-6,0,-1,7,-6,-5,-2,-14,-8,-7,16,9,-2,8,5,1,-11,DET,WAS,2018-12-27
0.0,4,1,14,8,-21,-12,0,5,5,11,-4,-3,7,6,-6,-6,-3,-2,0,-1,15,0,1,2,-9,0,-20,CHA,NYK,2018-12-15
